epoch,aupr,learning_rate,loss,precision,recall,val_aupr,val_loss,val_precision,val_recall
0,0.2854968309402466,0.0010000000474974513,1.1481281518936157,0.37471717596054077,0.4663628935813904,0.32852351665496826,0.9737107753753662,0.23447619378566742,0.614118218421936
1,0.31659644842147827,0.0010000000474974513,0.9811863899230957,0.21392521262168884,0.6466823816299438,0.32738691568374634,0.9646623730659485,0.20677319169044495,0.6487902402877808
2,0.32754290103912354,0.0010000000474974513,0.9744369387626648,0.2124321013689041,0.6487814784049988,0.32658877968788147,0.9617329239845276,0.19659259915351868,0.6620104908943176
3,0.3278909921646118,0.0010000000474974513,0.9728077054023743,0.20786871016025543,0.6594818830490112,0.3236291706562042,0.9592098593711853,0.2134166657924652,0.6388126611709595
4,0.32674142718315125,0.0010000000474974513,0.9708324670791626,0.21256038546562195,0.6487814784049988,0.321076363325119,0.9574813842773438,0.2134166657924652,0.6388126611709595
5,0.3248195946216583,0.0010000000474974513,0.9694713354110718,0.2127443104982376,0.6531333327293396,0.32180824875831604,0.9569394588470459,0.19659259915351868,0.6620104908943176
6,0.33124297857284546,0.0010000000474974513,0.9697580933570862,0.20888236165046692,0.6549764275550842,0.32277214527130127,0.9554627537727356,0.20384345948696136,0.6535295844078064
7,0.33494240045547485,0.0010000000474974513,0.9682841300964355,0.21664701402187347,0.6492422819137573,0.32311034202575684,0.9560269117355347,0.2134166657924652,0.6388126611709595
8,0.3343406021595001,0.0010000000474974513,0.9678623080253601,0.2078966498374939,0.6591234803199768,0.32333365082740784,0.9535883069038391,0.2134166657924652,0.6388126611709595
9,0.3315255343914032,0.0010000000474974513,0.9680969715118408,0.21374699473381042,0.6514949798583984,0.3231409788131714,0.9499654769897461,0.2134166657924652,0.6388126611709595
10,0.33011114597320557,0.0010000000474974513,0.9689345955848694,0.21223989129066467,0.654822826385498,0.32342392206192017,0.9490793347358704,0.2134166657924652,0.6388126611709595
11,0.33411216735839844,0.0010000000474974513,0.968066394329071,0.2135467231273651,0.6530821323394775,0.32195281982421875,0.9505058526992798,0.2134166657924652,0.6388126611709595
12,0.3337749242782593,0.0010000000474974513,0.967542827129364,0.21296913921833038,0.6542596817016602,0.3222310245037079,0.9489705562591553,0.19662171602249146,0.6620104908943176
13,0.33060020208358765,0.0010000000474974513,0.9670673608779907,0.211337149143219,0.6552836298942566,0.3228086829185486,0.9486789703369141,0.19659259915351868,0.6620104908943176
14,0.331772118806839,0.0010000000474974513,0.9670435190200806,0.21139125525951385,0.6546180844306946,0.3245943784713745,0.9484673142433167,0.2134166657924652,0.6388126611709595
